  PYTHIA EVENT FILE 
 ============================================
I, ievent, genevent, subprocess, nucleon,                 targetparton, xtargparton, beamparton, xbeamparton,               thetabeamprtn, truey, trueQ2, truex, trueW2, trueNu, leptonphi,   s_hat, t_hat, u_hat, pt2_hat, Q2_hat, F2, F1, R, sigma_rad,       SigRadCor, EBrems, photonflux, t-diff, nrTracks
 ============================================
  I  K(I,1)  K(I,2)  K(I,3)  K(I,4)  K(I,5)            P(I,1)  P(I,2)  P(I,3)  P(I,4)  P(I,5)  V(I,1)  V(I,2)  V(I,3)
    27      1         22       17        0        0       -0.078830       -0.221436        0.410848        0.473333        0.000000        0.000000        0.000000        0.000000
    28      1        211       18        0        0        0.072057       -0.032837        0.977958        0.991036        0.139570        0.000000        0.000000        0.000000
    29     11        111       18       36       37       -0.548231        0.347717        0.909728        1.125740        0.134980        0.000000        0.000000        0.000000
    30      1       -211       19        0        0        0.305855        0.072214        0.236717        0.417465        0.139570        0.000000        0.000000        0.000000
    31     11        111       19       38       39        0.634337       -0.091792        1.637023        1.763200        0.134980        0.000000        0.000000        0.000000
    32      1         22       23        0        0       -0.161617        0.075084       -0.238347        0.297602        0.000000       -0.000126        0.000090       -0.000167
    33      1         22       23        0        0       -0.020725        0.054928       -0.003887        0.058837        0.000000       -0.000126        0.000090       -0.000167
    34      1         22       25        0        0       -0.104190       -0.076519        0.361253        0.383686        0.000000       -0.000004       -0.000006        0.000014
    35      1         22       25        0        0       -0.171476       -0.286367        0.529115        0.625598        0.000000       -0.000004       -0.000006        0.000014
    36      1         22       29        0        0       -0.194816        0.167858        0.268360        0.371681        0.000000       -0.000130        0.000083        0.000216
    37      1         22       29        0        0       -0.353415        0.179860        0.641368        0.754059        0.000000       -0.000130        0.000083        0.000216
    38      1         22       31        0        0        0.596620       -0.071117        1.588615        1.698443        0.000000        0.000233       -0.000034        0.000602
    39      1         22       31        0        0        0.037717       -0.020675        0.048408        0.064756        0.000000        0.000233       -0.000034        0.000602
 =============== Event finished ===============
   0          2    1   95 2212         21  0.000000           21     0.000000     0.000000      0.13073679205        0.00652432442        0.00004989988      131.62213134766       69.67520141602        0.82590063674        0.00000000000           0.000000000           0.000000000           0.000000000           0.000000000           0.007111776          70.423339844           0.006365255           0.000347580           1.254229665         280.265525656           1.097097112           0.000000000             49
 ============================================
     1     21         11        0        3        4        0.000000        0.000000       -5.000000        5.000000        0.000510        0.000000        0.000000        0.000000
     2     21       2212        0        5        0       -0.000000        0.000000       50.000000       50.008803        0.938270        0.000000        0.000000        0.000000
     3     21         11        1        0        0       -0.051051        0.055364       -4.345990        4.346642        0.000510        0.000000        0.000000        0.000000
     4     21         22        1        0        0        0.051051       -0.055364       -0.654010        0.653358       -0.080773        0.000000        0.000000        0.000000
     5     21       2212        2        0        0        0.000000       -0.000000       50.000000       50.008803        0.938270        0.000000        0.000000        0.000000
     6     21         21        4        0        0        0.000000        0.000000        0.000000        0.000000        0.000000        0.000000        0.000000        0.000000
     7     21         21        5        0        0        0.000000        0.000000        0.000000        0.000000        0.000000        0.000000        0.000000        0.000000
     8     21         21        6        0        0        0.000000        0.000000        0.000000        0.000000        0.000000        0.000000        0.000000        0.000000
     9     21         21        7        0        0        0.000000        0.000000        0.000000        0.000000        0.000000        0.000000        0.000000        0.000000
    10     21         21        0        0        0        0.000000        0.000000        0.000000        0.000000        0.000000        0.000000        0.000000        0.000000
    11     21         21        0        0        0        0.000000        0.000000        0.000000        0.000000        0.000000        0.000000        0.000000        0.000000
    12      1         11        3        0        0       -0.051051        0.055364       -4.345990        4.346642        0.000510        0.000000        0.000000        0.000000
    13     12         -2        4       17       17        0.308482        0.370514       -0.159845        0.605716        0.330000        0.000000        0.000000        0.000000
    14     11          1        5       17       17       -0.208440        0.118671        4.067715        4.088122        0.330000        0.000000        0.000000        0.000000
    15     12          2        4       21       21       -0.258168       -0.425077        0.079068        0.602074        0.330000        0.000000        0.000000        0.000000
    16     11       2203        5       21       21        0.209178       -0.119472       45.359052       45.366249        0.771330        0.000000        0.000000        0.000000
    17     11         92       13       18       20        0.100042        0.489185        3.907870        4.693838        2.551735        0.000000        0.000000        0.000000
    18     11        111       17       27       28        0.124949       -0.413207        0.088791        0.460929        0.134980        0.000000        0.000000        0.000000
    19      1       -211       17        0        0        0.086284        0.722541        0.976103        1.225466        0.139570        0.000000        0.000000        0.000000
    20     11        331       17       29       31       -0.111191        0.179851        2.842976        3.007442        0.957856        0.000000        0.000000        0.000000
    21     11         92       15       22       26       -0.048991       -0.544549       45.438120       45.968323        6.940105        0.000000        0.000000        0.000000
    22      1        211       21        0        0       -0.382543       -0.201942        3.997027        4.022788        0.139570        0.000000        0.000000        0.000000
    23      1       -211       21        0        0        0.628406       -0.256282        0.653481        0.952413        0.139570        0.000000        0.000000        0.000000
    24     11        213       21       32       33       -0.512107       -0.044945        2.900551        3.022477        0.676682        0.000000        0.000000        0.000000
    25     11        313       21       34       35        0.124981        0.448455       19.605174       19.629357        0.855621        0.000000        0.000000        0.000000
    26     11       3224       21       36       37        0.092272       -0.489835       18.281887       18.341287        1.388156        0.000000        0.000000        0.000000
    27      1         22       18        0        0        0.151323       -0.336893        0.054958        0.373385        0.000000        0.000008       -0.000026        0.000006
    28      1         22       18        0        0       -0.026374       -0.076313        0.033833        0.087544        0.000000        0.000008       -0.000026        0.000006
    29      1       -211       20        0        0        0.009303       -0.010585        0.280770        0.313864        0.139570        0.000000        0.000000        0.000000
    30      1        211       20        0        0        0.084163        0.002462        1.032226        1.045017        0.139570        0.000000        0.000000        0.000000
    31     11        221       20       38       40       -0.204657        0.187974        1.529979        1.648562        0.547450        0.000000        0.000000        0.000000
    32      1        211       24        0        0        0.063386       -0.177198        1.029348        1.055677        0.139570        0.000000        0.000000        0.000000
    33     11        111       24       41       42       -0.575492        0.132252        1.871203        1.966800        0.134980        0.000000        0.000000        0.000000
    34      1        321       25        0        0       -0.159717        0.389629       13.775257       13.790528        0.493600        0.000000        0.000000        0.000000
    35      1       -211       25        0        0        0.284698        0.058826        5.829917        5.838829        0.139570        0.000000        0.000000        0.000000
    36     11       3122       26       43       44        0.184936       -0.382895       17.193181       17.234588        1.115680        0.000000        0.000000        0.000000
    37      1        211       26        0        0       -0.092664       -0.106940        1.088706        1.106699        0.139570        0.000000        0.000000        0.000000
    38      1       -211       31        0        0       -0.060821        0.028819        0.178743        0.236556        0.139570        0.000000        0.000000        0.000000
    39      1        211       31        0        0       -0.142485        0.082998        0.470359        0.517598        0.139570        0.000000        0.000000        0.000000
    40     11        111       31       45       46       -0.001351        0.076157        0.880877        0.894408        0.134980        0.000000        0.000000        0.000000
    41      1         22       33        0        0       -0.356637        0.016439        1.162529        1.216114        0.000000       -0.000014        0.000003        0.000046
    42      1         22       33        0        0       -0.218856        0.115813        0.708674        0.750686        0.000000       -0.000014        0.000003        0.000046
    43      1       2112       36        0        0        0.167179       -0.339590       16.140890       16.172644        0.939570        0.252898       -0.523604       23.511467
    44     11        111       36       47       48        0.017758       -0.043304        1.052290        1.061944        0.134980        0.252898       -0.523604       23.511467
    45      1         22       40        0        0        0.056938        0.078071        0.558996        0.567286        0.000000       -0.000001        0.000037        0.000433
    46      1         22       40        0        0       -0.058289       -0.001914        0.321881        0.327122        0.000000       -0.000001        0.000037        0.000433
    47      1         22       44        0        0       -0.006273        0.045374        0.496770        0.498877        0.000000        0.252904       -0.523618       23.511814
    48      1         22       44        0        0        0.024031       -0.088678        0.555521        0.563067        0.000000        0.252904       -0.523618       23.511814
    49     55         22        1        0        0        0.001259        0.006215       -2.629887        2.629895        0.000000        0.000000        0.000000        0.000000
 =============== Event finished ===============
