  PYTHIA EVENT FILE 
 ============================================
I, ievent, genevent, subprocess, nucleon,                 targetparton, xtargparton, beamparton, xbeamparton,               thetabeamprtn, truey, trueQ2, truex, trueW2, trueNu, leptonphi,   s_hat, t_hat, u_hat, pt2_hat, Q2_hat, F2, F1, R, sigma_rad,       SigRadCor, EBrems, photonflux, t-diff, nrTracks
 ============================================
  I  K(I,1)  K(I,2)  K(I,3)  K(I,4)  K(I,5)            P(I,1)  P(I,2)  P(I,3)  P(I,4)  P(I,5)  V(I,1)  V(I,2)  V(I,3)
 ============================================
   0          1    1   99 2212          2  0.000000           22     0.948683     0.000000      0.17321290589        0.00000003035        0.00000000018      174.10852050781       92.31253814697        0.81559092002      156.69765393660         -78.348826968         -78.348826968           0.000000000           0.000000030           0.000000039         111.832580566           0.000000000           0.001565393           1.028119445           0.000000000           0.887766081         -78.348826968             39
 ============================================
     1     21         11        0        3        4        0.000000        0.000000       -5.000000        5.000000        0.000510        0.000000        0.000000        0.000000
     2     21       2212        0        5        0       -0.000000        0.000000       50.000000       50.008803        0.938270        0.000000        0.000000        0.000000
     3     21         11        1        0        0       -0.000090        0.000096       -4.133935        4.133935        0.000510        0.000000        0.000000        0.000000
     4     21         22        1        0        0        0.000090       -0.000096       -0.866065        0.866065       -0.000174        0.000000        0.000000        0.000000
     5     21       2212        2        0        0       -0.000000        0.000000       50.000000       50.008803        0.938270        0.000000        0.000000        0.000000
     6     21         22        4        0        0        0.000091       -0.000096       -0.870466        0.870466       -0.000174        0.000000        0.000000        0.000000
     7     21          2        5        0        0       -0.000000        0.000000        0.000000        0.000000        0.000000        0.000000        0.000000        0.000000
     8     21         22        6        0        0        0.000091       -0.000096       -0.870466        0.870466       -0.000174        0.000000        0.000000        0.000000
     9     21          2        7        0        0       -0.000000        0.000000        0.000000        0.000000        0.000000        0.000000        0.000000        0.000000
    10     21          2        9        0        0        0.000091       -0.000096       -0.870466        0.870466        0.000000        0.000000        0.000000        0.000000
    11      1         11        3        0        0       -0.000090        0.000096       -4.133935        4.133935        0.000510        0.000000        0.000000        0.000000
    12     12          2       10       14       14       -0.407740        0.163985       -0.812178        0.923459        0.000000        0.000000        0.000000        0.000000
    13     11       2101        5       14       14        0.407831       -0.164080       49.946114       49.951408        0.579330        0.000000        0.000000        0.000000
    14     11         92       12       15       21        0.000090       -0.000096       49.133935       50.874867       13.195018        0.000000        0.000000        0.000000
    15     11        213       14       22       23        0.078262        0.319095        0.045035        0.809947        0.738945        0.000000        0.000000        0.000000
    16     11       -213       14       24       25       -0.107076       -0.304646        0.927501        1.238790        0.755029        0.000000        0.000000        0.000000
    17     11        221       14       26       27       -0.380610       -0.188484        2.935191        3.015864        0.547450        0.000000        0.000000        0.000000
    18     11        213       14       28       29       -0.476175        0.314880        1.887686        2.116776        0.769083        0.000000        0.000000        0.000000
    19     11       -213       14       30       31        0.940192       -0.019577        1.873740        2.180665        0.600043        0.000000        0.000000        0.000000
    20      1        211       14        0        0       -0.526219       -0.238821        5.416976        5.449500        0.139570        0.000000        0.000000        0.000000
    21      1       2112       14        0        0        0.471717        0.117457       36.047806       36.063325        0.939570        0.000000        0.000000        0.000000
    22      1        211       15        0        0        0.260604        0.189082        0.287268        0.453508        0.139570        0.000000        0.000000        0.000000
    23     11        111       15       32       33       -0.182342        0.130013       -0.242234        0.356439        0.134980        0.000000        0.000000        0.000000
    24      1       -211       16        0        0        0.168590        0.058240        0.037132        0.229506        0.139570        0.000000        0.000000        0.000000
    25     11        111       16       34       35       -0.275666       -0.362886        0.890369        1.009284        0.134980        0.000000        0.000000        0.000000
    26      1         22       17        0        0       -0.301780        0.032952        2.524343        2.542531        0.000000        0.000000        0.000000        0.000000
