  PYTHIA EVENT FILE 
 ============================================
I, ievent, genevent, subprocess, nucleon,                 targetparton, xtargparton, beamparton, xbeamparton,               thetabeamprtn, truey, trueQ2, truex, trueW2, trueNu, leptonphi,   s_hat, t_hat, u_hat, pt2_hat, Q2_hat, F2, F1, R, sigma_rad,       SigRadCor, EBrems, photonflux, t-diff, nrTracks
 ============================================
  I  K(I,1)  K(I,2)  K(I,3)  K(I,4)  K(I,5)            P(I,1)  P(I,2)  P(I,3)  P(I,4)  P(I,5)  V(I,1)  V(I,2)  V(I,3)
 ============================================
   0          1    1   11 2212          1  0.090137            2     0.675612     0.020557      0.12768118372        0.36923664808        0.00289160968      128.20353698730       68.04673767090        0.81982322395        7.80732071755          -2.032443749          -5.774876969           1.503347053           1.503347053           0.168718189          21.978286743           0.314736209           0.002304333           1.466787457           0.000000000           0.621129390          -2.032443749             52
 ============================================
    13     12          2       10       22       22       -1.394054        0.544623        2.056178        2.564521        0.330000        0.000000        0.000000        0.000000
    14     12         21        7       22       22        1.317026        0.847196       15.063428       15.144608        0.000000        0.000000        0.000000        0.000000
    15     12         21        7       22       22       -0.472409        0.150546        0.716334        0.871188        0.000000        0.000000        0.000000        0.000000
    16     11       2203        5       22       22       -0.156230       -0.444783       26.026353       26.042048        0.771330        0.000000        0.000000        0.000000
    17     12          1       11       19       19        0.416811       -0.981940        4.595309        4.729028        0.330000        0.000000        0.000000        0.000000
    18     11         -2        4       19       19        0.676110       -0.530522        0.885528        1.277356        0.330000        0.000000        0.000000        0.000000
    19     11         91       17       20       21        1.092921       -1.512461        5.480837        6.006384        1.598452        0.000000        0.000000        0.000000
    20     11       -213       19       29       30        0.609808       -0.225614        2.201549        2.408772        0.729793        0.000000        0.000000        0.000000
    21     11        221       19       31       32        0.483113       -1.286847        3.279289        3.597612        0.547450        0.000000        0.000000        0.000000
    22     11         92       13       23       28       -0.705666        1.097581       43.862293       44.622365        8.096420        0.000000        0.000000        0.000000
    23      1        211       22        0        0       -0.959238        0.401788        1.503993        1.833861        0.139570        0.000000        0.000000        0.000000
    24     11        223       22       33       35        0.340687        0.451872        3.875066        3.988007        0.753533        0.000000        0.000000        0.000000
    25     11       -213       22       36       37       -0.281804        0.697332        5.473543        5.580125        0.782588        0.000000        0.000000        0.000000
    26     11        111       22       38       39        0.398951       -0.859430        4.231919        4.338794        0.134980        0.000000        0.000000        0.000000
    27     11        221       22       40       42       -0.007774        0.623632        4.934531        5.003826        0.547450        0.000000        0.000000        0.000000
    28     11       2224       22       43       44       -0.196487       -0.217613       23.843242       23.877751        1.249329        0.000000        0.000000        0.000000
    29      1       -211       20        0        0        0.512917       -0.166835        0.689367        0.886355        0.139570        0.000000        0.000000        0.000000
    30     11        111       20       45       46        0.096892       -0.058780        1.512181        1.522417        0.134980        0.000000        0.000000        0.000000
    31      1         22       21        0        0        0.526749       -0.924437        2.798632        2.994059        0.000000        0.000000        0.000000        0.000000
    32      1         22       21        0        0       -0.043636       -0.362410        0.480657        0.603553        0.000000        0.000000        0.000000        0.000000
    33      1       -211       24        0        0        0.068535        0.087212        1.884964        1.893376        0.139570        0.000000        0.000000        0.000000
    34      1        211       24        0        0        0.121359       -0.039317        0.415842        0.456813        0.139570        0.000000        0.000000        0.000000
    35     11        111       24       47       48        0.150793        0.403977        1.574260        1.637819        0.134980        0.000000        0.000000        0.000000
    36      1       -211       25        0        0        0.021661        0.112185        3.297647        3.302577        0.139570        0.000000        0.000000        0.000000
    37     11        111       25       49       50       -0.303465        0.585147        2.175895        2.277549        0.134980        0.000000        0.000000        0.000000
    38      1         22       26        0        0        0.162967       -0.310761        1.290908        1.337749        0.000000        0.000024       -0.000051        0.000252
    39      1         22       26        0        0        0.235984       -0.548669        2.941011        3.001045        0.000000        0.000024       -0.000051        0.000252
    40      1        211       27        0        0       -0.056743        0.124926        0.923136        0.943655        0.139570        0.000000        0.000000        0.000000
    41      1       -211       27        0        0       -0.046662        0.298452        2.889602        2.908699        0.139570        0.000000        0.000000        0.000000
    42     11        111       27       51       52        0.095630        0.200254        1.121793        1.151471        0.134980        0.000000        0.000000        0.000000
    43      1       2212       28        0        0        0.034944       -0.321228       17.964618       17.992006        0.938270        0.000000        0.000000        0.000000
    44      1        211       28        0        0       -0.231432        0.103616        5.878624        5.885745        0.139570        0.000000        0.000000        0.000000
    45      1         22       30        0        0        0.020226        0.040125        0.246243        0.250309        0.000000        0.000012       -0.000007        0.000185
    46      1         22       30        0        0        0.076665       -0.098904        1.265938        1.272108        0.000000        0.000012       -0.000007        0.000185
    47      1         22       35        0        0       -0.002044        0.137857        0.631205        0.646087        0.000000        0.000089        0.000238        0.000926
    48      1         22       35        0        0        0.152837        0.266120        0.943056        0.991732        0.000000        0.000089        0.000238        0.000926
    49      1         22       37        0        0       -0.150641        0.187779        0.941783        0.972065        0.000000       -0.000119        0.000229        0.000851
    50      1         22       37        0        0       -0.152824        0.397368        1.234112        1.305484        0.000000       -0.000119        0.000229        0.000851
    51      1         22       42        0        0        0.051709        0.008852        0.400588        0.404008        0.000000        0.000023        0.000048        0.000269
    52      1         22       42        0        0        0.043921        0.191402        0.721205        0.747463        0.000000        0.000023        0.000048        0.000269
 =============== Event finished ===============
   0          2    1   95 2212         21  0.000000           21     0.000000     0.000000      0.31114314561        0.23951479793        0.00076972198      311.81137084961      165.82142639160        2.87363512189        0.00000000000           0.000000000           0.000000000           0.000000000           0.000000000           0.131739840          64.673561096           0.314736209           0.000776236           1.513647318           0.000000000           0.516927147           0.000000000             53
 ============================================
     1     21         11        0        3        4        0.000000        0.000000       -5.000000        5.000000        0.000510        0.000000        0.000000        0.000000
     2     21       2212        0        5        0       -0.000000        0.000000       50.000000       50.008803        0.938270        0.000000        0.000000        0.000000
     3     21         11        1        0        0        0.391696        0.107544       -3.432307        3.456259        0.000510        0.000000        0.000000        0.000000
     4     21         22        1        0        0       -0.391696       -0.107544       -1.567693        1.543741       -0.489402        0.000000        0.000000        0.000000
     5     21       2212        2        0        0       -0.000000       -0.000000       50.000000       50.008803        0.938270        0.000000        0.000000        0.000000
     6     21         21        4        0        0        0.000000        0.000000        0.000000        0.000000        0.000000        0.000000        0.000000        0.000000
     7     21         21        5        0        0        0.000000        0.000000        0.000000        0.000000        0.000000        0.000000        0.000000        0.000000
     8     21         21        6        0        0        0.000000        0.000000        0.000000        0.000000        0.000000        0.000000        0.000000        0.000000
     9     21         21        7        0        0        0.000000        0.000000        0.000000        0.000000        0.000000        0.000000        0.000000        0.000000
    10     21         21        0        0        0        0.000000        0.000000        0.000000        0.000000        0.000000        0.000000        0.000000        0.000000
    11     21         21        0        0        0        0.000000        0.000000        0.000000        0.000000        0.000000        0.000000        0.000000        0.000000
    12      1         11        3        0        0        0.391696        0.107544       -3.432307        3.456259        0.000510        0.000000        0.000000        0.000000
    13     12         -2        4       17       17       -0.300253       -0.224225       -0.061569        0.503110        0.330000        0.000000        0.000000        0.000000
    14     11          1        5       17       17       -0.033927        0.121916       -0.136080        0.378724        0.330000        0.000000        0.000000        0.000000
    15     12          2        4       19       19       -0.026957        0.134386       -0.985897        1.048656        0.330000        0.000000        0.000000        0.000000
    16     11       2203        5       21       21       -0.030560       -0.139621       49.615853       49.622054        0.771330        0.000000        0.000000        0.000000
    17     11         91       13       18       18       -0.334179       -0.102309       -0.197649        0.881834        0.785126        0.000000        0.000000        0.000000
    18      1       -211       17        0        0       -0.059406       -0.018187       -0.035136        0.156762        0.139570        0.000000        0.000000        0.000000
    19     12          2       15       22       22       -0.026957        0.134386       -0.985897        1.048656        0.330000        0.000000        0.000000        0.000000
    20     12         21       17       22       22       -0.274773       -0.084122       -0.162513        0.725072        0.645556        0.000000        0.000000        0.000000
    21     11       2203       16       22       22       -0.030560       -0.139621       49.615853       49.622054        0.771330        0.000000        0.000000        0.000000
    22     11         92       19       23       31       -0.332290       -0.089357       48.467443       51.395782       17.097222        0.000000        0.000000        0.000000
    23      1        211       22        0        0        0.215503       -0.169311       -0.088501        0.320031        0.139570        0.000000        0.000000        0.000000
    24     11       -213       22       32       33       -0.709396        0.269622       -0.248913        1.079444        0.726157        0.000000        0.000000        0.000000
    25     11        323       22       34       35        0.184321        0.033670        0.423190        0.997626        0.883776        0.000000        0.000000        0.000000
    26     11       -311       22       36       36       -0.443330       -0.215433        1.017761        1.235502        0.497670        0.000000        0.000000        0.000000
    27     11        113       22       37       38        0.799347       -0.379547        6.844745        6.924714        0.564015        0.000000        0.000000        0.000000
    28     11        111       22       39       40       -0.451474        0.531088        3.623334        3.692242        0.134980        0.000000        0.000000        0.000000
    29     11        111       22       41       42       -0.335100        0.304012        0.571647        0.741427        0.134980        0.000000        0.000000        0.000000
    30     11       -213       22       43       44        0.291029       -0.321902        5.606270        5.666597        0.701248        0.000000        0.000000        0.000000
    31     11       2224       22       45       46        0.116810       -0.141555       30.717910       30.738198        1.101408        0.000000        0.000000        0.000000
    32      1       -211       24        0        0       -0.113435        0.178243        0.194211        0.319117        0.139570        0.000000        0.000000        0.000000
    33     11        111       24       47       48       -0.595961        0.091379       -0.443124        0.760328        0.134980        0.000000        0.000000        0.000000
    34      1        321       25        0        0        0.382646        0.051831        0.424683        0.757035        0.493600        0.000000        0.000000        0.000000
    35     11        111       25       49       51       -0.198325       -0.018161       -0.001493        0.240592        0.134980        0.000000        0.000000        0.000000
    36      1        130       26        0        0       -0.443330       -0.215433        1.017761        1.235502        0.497670        0.000000        0.000000        0.000000
    37      1       -211       27        0        0        0.319906       -0.032558        4.020413        4.035666        0.139570        0.000000        0.000000        0.000000
    38      1        211       27        0        0        0.479441       -0.346989        2.824332        2.889047        0.139570        0.000000        0.000000        0.000000
    39      1         22       28        0        0       -0.368052        0.412206        2.554680        2.613764        0.000000       -0.000066        0.000077        0.000528
    40      1         22       28        0        0       -0.083422        0.118882        1.068654        1.078478        0.000000       -0.000066        0.000077        0.000528
