  PYTHIA EVENT FILE 
 ============================================
I, ievent, genevent, subprocess, nucleon,                 targetparton, xtargparton, beamparton, xbeamparton,               thetabeamprtn, truey, trueQ2, truex, trueW2, trueNu, leptonphi,   s_hat, t_hat, u_hat, pt2_hat, Q2_hat, F2, F1, R, sigma_rad,       SigRadCor, EBrems, photonflux, t-diff, nrTracks
 ============================================
  I  K(I,1)  K(I,2)  K(I,3)  K(I,4)  K(I,5)            P(I,1)  P(I,2)  P(I,3)  P(I,4)  P(I,5)  V(I,1)  V(I,2)  V(I,3)
 ============================================
   0          1    1   11 2212          1  0.090137            2     0.675612     0.020557      0.12768118372        0.36923664808        0.00289160968      128.20353698730       68.04673767090        0.81982322395        7.80732071755          -2.032443749          -5.774876969           1.503347053           1.503347053           0.168718189          21.978286743           0.314736209           0.002304333           1.466787457           0.000000000           0.621129390          -2.032443749             52
 ============================================
    37     11        111       26       48       49       -0.101005        0.417757        4.955287        4.975722        0.134980        0.000000        0.000000        0.000000
    38      1       2112       27        0        0       -0.610929       -0.466056       16.986120       17.029430        0.939570        0.000000        0.000000        0.000000
    39     11        111       27       50       51       -0.020597        0.208083        4.787793        4.794257        0.134980        0.000000        0.000000        0.000000
    40      1         22       30        0        0       -0.135470       -0.018832        0.518911        0.536633        0.000000        0.000000        0.000000        0.000000
    41      1         22       30        0        0       -0.144428       -0.514430        0.277485        0.602076        0.000000        0.000000        0.000000        0.000000
    42      1         22       32        0        0        0.022804        0.030102        0.129496        0.134890        0.000000        0.000001        0.000000        0.000003
    43      1         22       32        0        0        0.733941        0.089028        3.143737        3.229501        0.000000        0.000001        0.000000        0.000003
    44      1         22       35        0        0        0.040755       -0.033462        0.723697        0.725616        0.000000        0.000019        0.000031        0.001017
    45      1         22       35        0        0        0.005475        0.107505        1.707225        1.710616        0.000000        0.000019        0.000031        0.001017
    46      1         22       36        0        0       -0.044638        0.044466        0.609062        0.612312        0.000000        0.000014        0.000021        0.000410
    47      1         22       36        0        0        0.091273        0.024087        0.723401        0.729534        0.000000        0.000014        0.000021        0.000410
    48      1         22       37        0        0        0.015562        0.063518        0.412258        0.417412        0.000000       -0.000009        0.000036        0.000432
    49      1         22       37        0        0       -0.116567        0.354239        4.543029        4.558310        0.000000       -0.000009        0.000036        0.000432
    50      1         22       39        0        0       -0.076888        0.105961        2.281333        2.285086        0.000000       -0.000003        0.000025        0.000585
    51      1         22       39        0        0        0.056291        0.102122        2.506460        2.509171        0.000000       -0.000003        0.000025        0.000585
 =============== Event finished ===============
